Site,Sub_Site,State,Creek,Year,Dates_Deployment,Dates_Analysis,MLT_NAVD88m,MLLT_NAVD88m,MHT_NAVD88m,MHHT_NAVD88m,MSL_NAVD88m,SpringTide_NAVD88m,Tidal_Range_m,NOAA_Tidal_Gauge,Tidal_Gauge_Serial_Number,Tidal_Regime
Plum Island - PLHA,North,MA,Creek,2024,8/9/24 - 9/15/24,2024-08-13 - 2024-09-12,-0.224,-0.23,1.397,1.529,0.594,2,2.893,Boston,8443970,Mesotidal
Plum Island - PLHA,South,MA,Creek,2022,6/9/22 - 7/21/22,2022-06-15 - 2022-07-15,-0.065,-0.066,1.398,1.537,0.66,1.989,2.893,Boston,8443970,Mesotidal
Plum Island - PLHA,South,MA,Creek,2024,8/9/24 - 9/15/24,2024-08-13 - 2024-09-12,-0.224,-0.23,1.397,1.529,0.594,2,2.893,Boston,8443970,Mesotidal
Essex,North,MA,North Creek,2022,2022-11-03 - 2022-12-04,2022-11-04 - 2022-12-04,-0.239,-0.245,1.232,1.364,0.496,2.038,2.893,Boston,8443970,Mesotidal
Essex,North,MA,North Creek,2024,2024-08-14 - 2024-10-14,2024-08-30 - 2024-09-29,0.058,0.055,1.396,1.534,0.727,2.175,2.893,Boston,8443970,Mesotidal
Essex,South,MA,South Creek,2022,2022-09-28 - 2022-10-27,2022-09-28 - 2022-10-28,0.057,0.049,1.353,1.447,0.7,1.759,2.893,Boston,8443970,Mesotidal
Essex,South,MA,South Creek,2024,2024-08-09 - 2024-10-16,2024-08-28 - 2024-09-27,0.253,0.251,1.417,1.544,0.835,2.199,2.893,Boston,8443970,Mesotidal
Ipswich,,MA,Creek,2022,2022-09-24 - 2022-10-27,2022-09-26 - 2022-10-26,-0.231,0.233,1.35,1.446,0.559,1.703,2.893,Boston,8443970,Mesotidal
Ipswich,,MA,Creek,2024,2024-09-25 - 2024-11-18,2024-10-08 - 2024-11-07,0.381,-0.387,1.263,1.377,0.448,1.878,2.893,Boston,8443970,Mesotidal
Kents Island,,MA,Creek,2022,2022-05-31 - 2022-07-05,2022-06-02 - 2022-07-02,-0.135,-0.146,1.381,1.5,0.616,1.829,2.893,Boston,8443970,Mesotidal
Kents Island,,MA,Creek,2024,2024-08-23 - 2024-10-25,2024-09-08 - 2024-10-08,-0.217,-0.226,1.362,1.446,0.572,1.854,2.893,Boston,8443970,Mesotidal
Old Town Hill,,MA,North Creek,2022,2022-07-05 - 2022-08-29,2022-07-18 - 2022-08-17,-0.979,-0.99,1.388,1.495,0.205,1.762,2.893,Boston,8443970,Mesotidal
Old Town Hill,,MA,South Creek,2024,2024-09-11 - 2024-10-25,2024-09-19 - 2024-10-19,-0.55,-0.561,1.421,1.498,0.427,1.832,2.893,Boston,8443970,Mesotidal
