WLR,Associated_Creek,Marsh_Elevation,Rootzone_Elevation
North_RUN,Creek,1.514,1.464
North_REF,Creek,1.495,1.445
South_RUN,Creek,1.528,1.478
South_REF,Creek,1.501,1.451
NAC,Creek,1.494,1.444
