,Season,No Action,Reference,Runnel 1,Runnel 2,Runnel 3,Runnel 4
1,2021,0,0,0,0,0,0
2,2022,-0.005,-0.0365,NA,NA,NA,0.021
3,2023,-0.012,-0.019,NA,NA,NA,-0.026
4,2024,0.03,-0.029,NA,NA,NA,-0.029
