"","Year","Pine Island - No Action","Pine Island - North - Reference","Pine Island - North - Runnel","Pine Island - South - Reference","Pine Island - South - Runnel"
"1",2021,0,0,0,0,0
"2",2024,-0.001,0.017,-0.003,0.0015,-0.019
