"","Year","Plum Island - PLHA - No Action","Plum Island - PLHA - North - Reference","Plum Island - PLHA - North - Runnel","Plum Island - PLHA - South - Reference","Plum Island - PLHA - South - Runnel"
"1",2022,0,0,0,0,0
"2",2024,0.0205,-0.026,0.0295,0.1845,0.013
