"","Season","Drainage Enhancement (SC1)","Drainage Enhancement (SC2)","No Action","North Reference (NNC)","South Reference (SC3)"
"1",2021,0,0,NA,0,0
"2",2022,-0.02625,-0.004,0,-0.041,-0.0045
"3",2023,-0.058,-0.0665,NA,-0.0295,-0.0485
"4",2024,-0.0385,0.0405,-0.034,0.0155,-0.0025
