Date,Year,State,Site,SubSite,Overall_Treatment,Transect,Distance_m,Depth_m,Depth_to_Benchmark_m,Elevation_NAVD88m,Description
10/7/2021,2021,ME,Moody Marsh,,No Action,T1,-1,2.295,-0.675,1.098,creek edge
10/7/2021,2021,ME,Moody Marsh,,No Action,T1,0,2.21,-0.59,1.183,South post
10/7/2021,2021,ME,Moody Marsh,,No Action,T1,2.5,2.12,-0.5,1.273,
10/7/2021,2021,ME,Moody Marsh,,No Action,T1,5,2.02,-0.4,1.373,trans
10/7/2021,2021,ME,Moody Marsh,,No Action,T1,7.5,1.97,-0.35,1.423,high marsh
10/7/2021,2021,ME,Moody Marsh,,No Action,T1,10,1.95,-0.33,1.443,
10/7/2021,2021,ME,Moody Marsh,,No Action,T1,12.5,1.905,-0.285,1.488,
10/7/2021,2021,ME,Moody Marsh,,No Action,T1,15,1.89,-0.27,1.503,
10/7/2021,2021,ME,Moody Marsh,,No Action,T1,17.5,1.88,-0.26,1.513,
10/7/2021,2021,ME,Moody Marsh,,No Action,T1,20,1.86,-0.24,1.533,
10/7/2021,2021,ME,Moody Marsh,,No Action,T1,22.5,1.84,-0.22,1.553,
10/7/2021,2021,ME,Moody Marsh,,No Action,T1,25,1.89,-0.27,1.503,
10/7/2021,2021,ME,Moody Marsh,,No Action,T1,27.5,1.905,-0.285,1.488,
10/7/2021,2021,ME,Moody Marsh,,No Action,T1,30,1.885,-0.265,1.508,North post
10/7/2021,2021,ME,Moody Marsh,,No Action,T2,-1,2.48,-0.86,0.913,creek edge
10/7/2021,2021,ME,Moody Marsh,,No Action,T2,0,2.35,-0.73,1.043,SW post
10/7/2021,2021,ME,Moody Marsh,,No Action,T2,2.5,1.915,-0.295,1.478,
10/7/2021,2021,ME,Moody Marsh,,No Action,T2,5,1.82,-0.2,1.573,
10/7/2021,2021,ME,Moody Marsh,,ax,T2,7.5,1.8,-0.18,1.593,
10/7/2021,2021,ME,Moody Marsh,,No Action,T2,10,1.815,-0.195,1.578,
10/7/2021,2021,ME,Moody Marsh,,No Action,T2,12.5,1.83,-0.21,1.563,
10/7/2021,2021,ME,Moody Marsh,,No Action,T2,15,1.83,-0.21,1.563,
10/7/2021,2021,ME,Moody Marsh,,No Action,T2,17.5,1.84,-0.22,1.553,
10/7/2021,2021,ME,Moody Marsh,,No Action,T2,20,1.91,-0.29,1.483,
10/7/2021,2021,ME,Moody Marsh,,No Action,T2,22.5,1.88,-0.26,1.513,
10/7/2021,2021,ME,Moody Marsh,,No Action,T2,25,1.86,-0.24,1.533,
10/7/2021,2021,ME,Moody Marsh,,No Action,T2,27.5,1.86,-0.24,1.533,
10/7/2021,2021,ME,Moody Marsh,,No Action,T2,30,1.825,-0.205,1.568,
10/7/2021,2021,ME,Moody Marsh,,No Action,T2,32.5,1.88,-0.26,1.513,
10/7/2021,2021,ME,Moody Marsh,,No Action,T2,35,1.83,-0.21,1.563,
10/7/2021,2021,ME,Moody Marsh,,No Action,T2,37.5,1.825,-0.205,1.568,
10/7/2021,2021,ME,Moody Marsh,,No Action,T2,40,1.82,-0.2,1.573,
10/7/2021,2021,ME,Moody Marsh,,No Action,T2,42.5,1.825,-0.205,1.568,
10/7/2021,2021,ME,Moody Marsh,,No Action,T2,45,1.855,-0.235,1.538,pool
10/7/2021,2021,ME,Moody Marsh,,No Action,T2,47.5,1.82,-0.2,1.573,
10/7/2021,2021,ME,Moody Marsh,,No Action,T2,50,1.81,-0.19,1.583,NE post
10/7/2021,2021,ME,Moody Marsh,,Reference,T1,-1,2.26,-0.71,0.882,creek edge
10/7/2021,2021,ME,Moody Marsh,,Reference,T1,0,2.235,-0.685,0.907,SE post
10/7/2021,2021,ME,Moody Marsh,,Reference,T1,2.5,2.055,-0.505,1.087,
10/7/2021,2021,ME,Moody Marsh,,Reference,T1,5,1.81,-0.26,1.332,
10/7/2021,2021,ME,Moody Marsh,,Reference,T1,7.5,1.77,-0.22,1.372,
10/7/2021,2021,ME,Moody Marsh,,Reference,T1,10,1.75,-0.2,1.392,
10/7/2021,2021,ME,Moody Marsh,,Reference,T1,12.5,1.745,-0.195,1.397,
10/7/2021,2021,ME,Moody Marsh,,Reference,T1,15,1.74,-0.19,1.402,
10/7/2021,2021,ME,Moody Marsh,,Reference,T1,17.5,1.73,-0.18,1.412,
10/7/2021,2021,ME,Moody Marsh,,Reference,T1,20,1.725,-0.175,1.417,
10/7/2021,2021,ME,Moody Marsh,,Reference,T1,22.5,1.72,-0.17,1.422,
10/7/2021,2021,ME,Moody Marsh,,Reference,T1,25,1.71,-0.16,1.432,
10/7/2021,2021,ME,Moody Marsh,,Reference,T1,27.5,1.7,-0.15,1.442,
10/7/2021,2021,ME,Moody Marsh,,Reference,T1,30,1.69,-0.14,1.452,
10/7/2021,2021,ME,Moody Marsh,,Reference,T1,32.5,1.695,-0.145,1.447,
10/7/2021,2021,ME,Moody Marsh,,Reference,T1,35,1.69,-0.14,1.452,
10/7/2021,2021,ME,Moody Marsh,,Reference,T1,37.5,1.72,-0.17,1.422,
10/7/2021,2021,ME,Moody Marsh,,Reference,T1,40,1.705,-0.155,1.437,NW post
10/7/2021,2021,ME,Moody Marsh,,Reference,T2,-1,2.16,-0.61,0.982,creek edge
10/7/2021,2021,ME,Moody Marsh,,Reference,T2,0,1.96,-0.41,1.182,East post
10/7/2021,2021,ME,Moody Marsh,,Reference,T2,2.5,1.79,-0.24,1.352,trans
10/7/2021,2021,ME,Moody Marsh,,Reference,T2,5,1.77,-0.22,1.372,~high
10/7/2021,2021,ME,Moody Marsh,,Reference,T2,7.5,1.74,-0.19,1.402,high marsh
10/7/2021,2021,ME,Moody Marsh,,Reference,T2,10,1.73,-0.18,1.412,high marsh
10/7/2021,2021,ME,Moody Marsh,,Reference,T2,12.5,1.72,-0.17,1.422,high marsh
10/7/2021,2021,ME,Moody Marsh,,Reference,T2,15,1.705,-0.155,1.437,high marsh
10/7/2021,2021,ME,Moody Marsh,,Reference,T2,17.5,1.7,-0.15,1.442,high marsh
10/7/2021,2021,ME,Moody Marsh,,Reference,T2,20,1.695,-0.145,1.447,high marsh
10/7/2021,2021,ME,Moody Marsh,,Reference,T2,22.5,1.7,-0.15,1.442,high marsh
10/7/2021,2021,ME,Moody Marsh,,Reference,T2,25,1.705,-0.155,1.437,high marsh
10/7/2021,2021,ME,Moody Marsh,,Reference,T2,27.5,1.705,-0.155,1.437,high marsh
10/7/2021,2021,ME,Moody Marsh,,Reference,T2,30,1.69,-0.14,1.452,high marsh
10/7/2021,2021,ME,Moody Marsh,,Reference,T2,32.5,1.69,-0.14,1.452,high marsh
10/7/2021,2021,ME,Moody Marsh,,Reference,T2,35,1.69,-0.14,1.452,high marsh
10/7/2021,2021,ME,Moody Marsh,,Reference,T2,37.5,1.63,-0.08,1.512,ice deposit
10/7/2021,2021,ME,Moody Marsh,,Reference,T2,40,1.7,-0.15,1.442,west post (panne-ish)
10/7/2021,2021,ME,Moody Marsh,,Runnel,T1,0,1.73,-0.3,1.454,SE post
10/7/2021,2021,ME,Moody Marsh,,Runnel,T1,2.5,1.71,-0.28,1.474,
10/7/2021,2021,ME,Moody Marsh,,Runnel,T1,5,1.73,-0.3,1.454,
10/7/2021,2021,ME,Moody Marsh,,Runnel,T1,7.5,1.75,-0.32,1.434,
10/7/2021,2021,ME,Moody Marsh,,Runnel,T1,10,1.76,-0.33,1.424,
10/7/2021,2021,ME,Moody Marsh,,Runnel,T1,12.5,2.04,-0.61,1.144,
10/7/2021,2021,ME,Moody Marsh,,Runnel,T1,15,2.07,-0.64,1.114,
10/7/2021,2021,ME,Moody Marsh,,Runnel,T1,17.5,2.18,-0.75,1.004,
10/7/2021,2021,ME,Moody Marsh,,Runnel,T1,19,2.26,-0.83,0.924,edge of runnel
10/7/2021,2021,ME,Moody Marsh,,Runnel,T1,19.1,2.47,-1.04,0.714,runnel center
10/7/2021,2021,ME,Moody Marsh,,Runnel,T1,19.3,2.26,-0.83,0.924,edge of runnel
10/7/2021,2021,ME,Moody Marsh,,Runnel,T1,20,2.16,-0.73,1.024,
10/7/2021,2021,ME,Moody Marsh,,Runnel,T1,22.5,2.07,-0.64,1.114,
10/7/2021,2021,ME,Moody Marsh,,Runnel,T1,25,2.06,-0.63,1.124,
10/7/2021,2021,ME,Moody Marsh,,Runnel,T1,26,2.16,-0.73,1.024,vegatation edge
10/7/2021,2021,ME,Moody Marsh,,Runnel,T1,27.5,2.21,-0.78,0.974,
10/7/2021,2021,ME,Moody Marsh,,Runnel,T1,30,2.2,-0.77,0.984,
10/7/2021,2021,ME,Moody Marsh,,Runnel,T1,32.5,2.19,-0.76,0.994,
10/7/2021,2021,ME,Moody Marsh,,Runnel,T1,34.5,2.32,-0.89,0.864,edge of runnel
10/7/2021,2021,ME,Moody Marsh,,Runnel,T1,35,2.63,-1.2,0.554,runnel center
10/7/2021,2021,ME,Moody Marsh,,Runnel,T1,35.7,2.31,-0.88,0.874,edge of runnel
10/7/2021,2021,ME,Moody Marsh,,Runnel,T1,37.5,2.19,-0.76,0.994,
10/7/2021,2021,ME,Moody Marsh,,Runnel,T1,40,1.81,-0.38,1.374,
10/7/2021,2021,ME,Moody Marsh,,Runnel,T1,42.5,1.89,-0.46,1.294,
10/7/2021,2021,ME,Moody Marsh,,Runnel,T1,45,1.73,-0.3,1.454,NW post
10/7/2021,2021,ME,Moody Marsh,,Runnel,T2,0,1.745,-0.315,1.439,S post (high)
10/7/2021,2021,ME,Moody Marsh,,Runnel,T2,2.5,1.77,-0.34,1.414,
10/7/2021,2021,ME,Moody Marsh,,Runnel,T2,5,1.86,-0.43,1.324,
10/7/2021,2021,ME,Moody Marsh,,Runnel,T2,5.2,2.01,-0.58,1.174,old ditch?
10/7/2021,2021,ME,Moody Marsh,,Runnel,T2,7.5,1.78,-0.35,1.404,blocky peat
10/7/2021,2021,ME,Moody Marsh,,Runnel,T2,10,1.93,-0.5,1.254,low
10/7/2021,2021,ME,Moody Marsh,,Runnel,T2,12.5,2,-0.57,1.184,low
10/7/2021,2021,ME,Moody Marsh,,Runnel,T2,15,2.02,-0.59,1.164,low
10/7/2021,2021,ME,Moody Marsh,,Runnel,T2,17.5,2.04,-0.61,1.144,low
10/7/2021,2021,ME,Moody Marsh,,Runnel,T2,20,2.025,-0.595,1.159,low
10/7/2021,2021,ME,Moody Marsh,,Runnel,T2,22.5,2.08,-0.65,1.104,low
10/7/2021,2021,ME,Moody Marsh,,Runnel,T2,25,2.095,-0.665,1.089,unveg
10/7/2021,2021,ME,Moody Marsh,,Runnel,T2,27.5,2.11,-0.68,1.074,unveg
10/7/2021,2021,ME,Moody Marsh,,Runnel,T2,30,2.05,-0.62,1.134,low
10/7/2021,2021,ME,Moody Marsh,,Runnel,T2,32,2.21,-0.78,0.974,runnel center
10/7/2021,2021,ME,Moody Marsh,,Runnel,T2,32.5,2.135,-0.705,1.049,
10/7/2021,2021,ME,Moody Marsh,,Runnel,T2,35,2.05,-0.62,1.134,
10/7/2021,2021,ME,Moody Marsh,,Runnel,T2,36,1.77,-0.34,1.414,vegatation edge
10/7/2021,2021,ME,Moody Marsh,,Runnel,T2,37.5,1.79,-0.36,1.394,
10/7/2021,2021,ME,Moody Marsh,,Runnel,T2,40,1.81,-0.38,1.374,
10/7/2021,2021,ME,Moody Marsh,,Runnel,T2,42.5,1.785,-0.355,1.399,
10/7/2021,2021,ME,Moody Marsh,,Runnel,T2,45,1.78,-0.35,1.404,
10/7/2021,2021,ME,Moody Marsh,,Runnel,T2,47.5,1.78,-0.35,1.404,
10/7/2021,2021,ME,Moody Marsh,,Runnel,T2,50,1.665,-0.235,1.519,N post
8/12/2024,2024,ME,Moody Marsh,,No Action,T1,-1,2.24,-0.765,1.007,transition marsh
8/12/2024,2024,ME,Moody Marsh,,No Action,T1,0,2.17,-0.695,1.077,transition marsh
8/12/2024,2024,ME,Moody Marsh,,No Action,T1,2.5,2.04,-0.565,1.207,transition marsh
8/12/2024,2024,ME,Moody Marsh,,No Action,T1,5,1.93,-0.455,1.317,transition marsh
8/12/2024,2024,ME,Moody Marsh,,No Action,T1,7.5,1.86,-0.385,1.387,transition marsh
8/12/2024,2024,ME,Moody Marsh,,No Action,T1,10,1.805,-0.33,1.442,high marsh
8/12/2024,2024,ME,Moody Marsh,,No Action,T1,12.5,1.77,-0.295,1.477,high marsh
8/12/2024,2024,ME,Moody Marsh,,No Action,T1,15,1.77,-0.295,1.477,panne
8/12/2024,2024,ME,Moody Marsh,,No Action,T1,17.5,1.735,-0.26,1.512,panne
8/12/2024,2024,ME,Moody Marsh,,No Action,T1,20,1.72,-0.245,1.527,panne
8/12/2024,2024,ME,Moody Marsh,,No Action,T1,22.5,1.7,-0.225,1.547,panne
8/12/2024,2024,ME,Moody Marsh,,No Action,T1,25,1.79,-0.315,1.457,pool
8/12/2024,2024,ME,Moody Marsh,,No Action,T1,27.5,1.76,-0.285,1.487,pool
8/12/2024,2024,ME,Moody Marsh,,No Action,T1,29.2,1.675,-0.2,1.572,panne
8/12/2024,2024,ME,Moody Marsh,,No Action,T1,30,1.74,-0.265,1.507,pool
8/12/2024,2024,ME,Moody Marsh,,No Action,T2,-1,2.3,-0.825,0.947,transition marsh
8/12/2024,2024,ME,Moody Marsh,,No Action,T2,0,2.19,-0.715,1.057,transition marsh
8/12/2024,2024,ME,Moody Marsh,,No Action,T2,2.5,1.85,-0.375,1.397,high marsh
8/12/2024,2024,ME,Moody Marsh,,No Action,T2,5,1.66,-0.185,1.587,high marsh
8/12/2024,2024,ME,Moody Marsh,,No Action,T2,7.5,1.63,-0.155,1.617,high marsh
8/12/2024,2024,ME,Moody Marsh,,No Action,T2,10,1.645,-0.17,1.602,transition marsh
8/12/2024,2024,ME,Moody Marsh,,No Action,T2,12.5,1.665,-0.19,1.582,panne
8/12/2024,2024,ME,Moody Marsh,,No Action,T2,15,1.675,-0.2,1.572,panne
8/12/2024,2024,ME,Moody Marsh,,No Action,T2,17.5,1.665,-0.19,1.582,panne
8/12/2024,2024,ME,Moody Marsh,,No Action,T2,20,1.78,-0.305,1.467,pool
8/12/2024,2024,ME,Moody Marsh,,No Action,T2,22.5,1.73,-0.255,1.517,pool
8/12/2024,2024,ME,Moody Marsh,,No Action,T2,25,1.71,-0.235,1.537,pool
8/12/2024,2024,ME,Moody Marsh,,No Action,T2,27.5,1.725,-0.25,1.522,pool
8/12/2024,2024,ME,Moody Marsh,,No Action,T2,30,1.69,-0.215,1.557,pool
8/12/2024,2024,ME,Moody Marsh,,No Action,T2,32.5,1.755,-0.28,1.492,pool
8/12/2024,2024,ME,Moody Marsh,,No Action,T2,35,1.66,-0.185,1.587,panne
8/12/2024,2024,ME,Moody Marsh,,No Action,T2,37.5,1.67,-0.195,1.577,panne
8/12/2024,2024,ME,Moody Marsh,,No Action,T2,40,1.66,-0.185,1.587,panne
8/12/2024,2024,ME,Moody Marsh,,No Action,T2,42.5,1.71,-0.235,1.537,panne
8/12/2024,2024,ME,Moody Marsh,,No Action,T2,45,1.7,-0.225,1.547,pool
8/12/2024,2024,ME,Moody Marsh,,No Action,T2,47.5,1.65,-0.175,1.597,transition
8/12/2024,2024,ME,Moody Marsh,,No Action,T2,50,1.63,-0.155,1.617,transition
8/12/2024,2024,ME,Moody Marsh,,Reference,T1,-1,1.925,-0.44,1.126,low marsh
8/12/2024,2024,ME,Moody Marsh,,Reference,T1,0,1.88,-0.395,1.171,transition marsh 
8/12/2024,2024,ME,Moody Marsh,,Reference,T1,2.5,1.74,-0.255,1.311,transition marsh
8/12/2024,2024,ME,Moody Marsh,,Reference,T1,5,1.7,-0.215,1.351,high marsh
8/12/2024,2024,ME,Moody Marsh,,Reference,T1,7.5,1.67,-0.185,1.381,high marsh
8/12/2024,2024,ME,Moody Marsh,,Reference,T1,10,1.665,-0.18,1.386,high marsh
8/12/2024,2024,ME,Moody Marsh,,Reference,T1,12.5,1.65,-0.165,1.401,high marsh
8/12/2024,2024,ME,Moody Marsh,,Reference,T1,15,1.64,-0.155,1.411,high marsh
8/12/2024,2024,ME,Moody Marsh,,Reference,T1,17.5,1.63,-0.145,1.421,high marsh
8/12/2024,2024,ME,Moody Marsh,,Reference,T1,20,1.62,-0.135,1.431,high marsh
8/12/2024,2024,ME,Moody Marsh,,Reference,T1,22.5,1.63,-0.145,1.421,high marsh
8/12/2024,2024,ME,Moody Marsh,,Reference,T1,25,1.64,-0.155,1.411,high marsh
8/12/2024,2024,ME,Moody Marsh,,Reference,T1,27.5,1.635,-0.15,1.416,high marsh
8/12/2024,2024,ME,Moody Marsh,,Reference,T1,30,1.62,-0.135,1.431,high marsh
8/12/2024,2024,ME,Moody Marsh,,Reference,T1,32.5,1.625,-0.14,1.426,high marsh (wet)
8/12/2024,2024,ME,Moody Marsh,,Reference,T1,35,1.63,-0.145,1.421,high marsh (wet)
8/12/2024,2024,ME,Moody Marsh,,Reference,T1,37.5,1.61,-0.125,1.441,high marsh (wet)
8/12/2024,2024,ME,Moody Marsh,,Reference,T1,40,1.63,-0.145,1.421,transition marsh (wet)
8/12/2024,2024,ME,Moody Marsh,,Reference,T2,-1,2.145,-0.66,0.906,low marsh
8/12/2024,2024,ME,Moody Marsh,,Reference,T2,0,2.16,-0.675,0.891,low marsh
8/12/2024,2024,ME,Moody Marsh,,Reference,T2,2.5,2.05,-0.565,1.001,transition marsh
8/12/2024,2024,ME,Moody Marsh,,Reference,T2,5,1.74,-0.255,1.311,high marsh 
8/12/2024,2024,ME,Moody Marsh,,Reference,T2,7.5,1.71,-0.225,1.341,high marsh 
8/12/2024,2024,ME,Moody Marsh,,Reference,T2,10,1.68,-0.195,1.371,high marsh 
8/12/2024,2024,ME,Moody Marsh,,Reference,T2,12.5,1.685,-0.2,1.366,high marsh 
8/12/2024,2024,ME,Moody Marsh,,Reference,T2,15,1.665,-0.18,1.386,high marsh 
8/12/2024,2024,ME,Moody Marsh,,Reference,T2,17.5,1.66,-0.175,1.391,high marsh 
8/12/2024,2024,ME,Moody Marsh,,Reference,T2,20,1.66,-0.175,1.391,high marsh 
8/12/2024,2024,ME,Moody Marsh,,Reference,T2,22.5,1.655,-0.17,1.396,high marsh 
8/12/2024,2024,ME,Moody Marsh,,Reference,T2,25,1.635,-0.15,1.416,high marsh 
8/12/2024,2024,ME,Moody Marsh,,Reference,T2,27.5,1.62,-0.135,1.431,"high marsh, next to pool"
8/12/2024,2024,ME,Moody Marsh,,Reference,T2,30,1.625,-0.14,1.426,"high marsh, next to pool "
8/12/2024,2024,ME,Moody Marsh,,Reference,T2,32.5,1.645,-0.16,1.406,high marsh 
8/12/2024,2024,ME,Moody Marsh,,Reference,T2,35,1.63,-0.145,1.421,high marsh 
8/12/2024,2024,ME,Moody Marsh,,Reference,T2,37.5,1.63,-0.145,1.421,high marsh 
8/12/2024,2024,ME,Moody Marsh,,Reference,T2,40,1.64,-0.155,1.411,high marsh 
8/12/2024,2024,ME,Moody Marsh,,Runnel,T1,0,1.675,-0.165,1.437,high marsh
8/12/2024,2024,ME,Moody Marsh,,Runnel,T1,2.5,1.67,-0.16,1.442,high marsh
8/12/2024,2024,ME,Moody Marsh,,Runnel,T1,5,1.7,-0.19,1.412,panne
8/12/2024,2024,ME,Moody Marsh,,Runnel,T1,7.5,1.73,-0.22,1.382,panne
8/12/2024,2024,ME,Moody Marsh,,Runnel,T1,10,1.75,-0.24,1.362,transition marsh (ridge)
8/12/2024,2024,ME,Moody Marsh,,Runnel,T1,12.5,1.99,-0.48,1.122,panne
8/12/2024,2024,ME,Moody Marsh,,Runnel,T1,15,2.025,-0.515,1.087,panne
8/12/2024,2024,ME,Moody Marsh,,Runnel,T1,17.5,2.12,-0.61,0.992,panne
8/12/2024,2024,ME,Moody Marsh,,Runnel,T1,18.6,2.18,-0.67,0.932,runnel bank
8/12/2024,2024,ME,Moody Marsh,,Runnel,T1,18.9,2.42,-0.91,0.692,runnel center
8/12/2024,2024,ME,Moody Marsh,,Runnel,T1,19.1,2.165,-0.655,0.947,runnel bank
8/12/2024,2024,ME,Moody Marsh,,Runnel,T1,20,2.08,-0.57,1.032,panne
8/12/2024,2024,ME,Moody Marsh,,Runnel,T1,22.5,2.01,-0.5,1.102,panne
8/12/2024,2024,ME,Moody Marsh,,Runnel,T1,25,2.045,-0.535,1.067,panne
8/12/2024,2024,ME,Moody Marsh,,Runnel,T1,26,2.15,-0.64,0.962,"dry pool, next to channel"
8/12/2024,2024,ME,Moody Marsh,,Runnel,T1,27.5,2.205,-0.695,0.907,"dry pool, next to channel"
8/12/2024,2024,ME,Moody Marsh,,Runnel,T1,30,2.18,-0.67,0.932,dry pool
8/12/2024,2024,ME,Moody Marsh,,Runnel,T1,32.5,2.13,-0.62,0.982,panne edge
8/12/2024,2024,ME,Moody Marsh,,Runnel,T1,34.5,2.26,-0.75,0.852,panne edge
8/12/2024,2024,ME,Moody Marsh,,Runnel,T1,35,2.62,-1.11,0.492,channel/runnel?
8/12/2024,2024,ME,Moody Marsh,,Runnel,T1,35.7,2.22,-0.71,0.892,panne edge channel
8/12/2024,2024,ME,Moody Marsh,,Runnel,T1,37.5,2.105,-0.595,1.007,panne next to pond
8/12/2024,2024,ME,Moody Marsh,,Runnel,T1,40,1.86,-0.35,1.252,panne
8/12/2024,2024,ME,Moody Marsh,,Runnel,T1,42.5,1.845,-0.335,1.267,high marsh
8/12/2024,2024,ME,Moody Marsh,,Runnel,T1,45,1.7,-0.19,1.412,high marsh
8/12/2024,2024,ME,Moody Marsh,,Runnel,T2,0,1.69,-0.18,1.422,high marsh
8/12/2024,2024,ME,Moody Marsh,,Runnel,T2,2.5,1.74,-0.23,1.372,high marsh
8/12/2024,2024,ME,Moody Marsh,,Runnel,T2,5,1.77,-0.26,1.342,high marsh
8/12/2024,2024,ME,Moody Marsh,,Runnel,T2,5.2,1.94,-0.43,1.172,"high marsh, adjacent to runnel"
8/12/2024,2024,ME,Moody Marsh,,Runnel,T2,7.5,1.76,-0.25,1.352,transition marsh
8/12/2024,2024,ME,Moody Marsh,,Runnel,T2,10,1.87,-0.36,1.242,transition marsh
8/12/2024,2024,ME,Moody Marsh,,Runnel,T2,12.5,1.95,-0.44,1.162,panne
8/12/2024,2024,ME,Moody Marsh,,Runnel,T2,15,1.96,-0.45,1.152,panne
8/12/2024,2024,ME,Moody Marsh,,Runnel,T2,17.5,1.97,-0.46,1.142,panne
8/12/2024,2024,ME,Moody Marsh,,Runnel,T2,20,1.965,-0.455,1.147,panne
8/12/2024,2024,ME,Moody Marsh,,Runnel,T2,22.5,2.02,-0.51,1.092,panne
8/12/2024,2024,ME,Moody Marsh,,Runnel,T2,25,2.105,-0.595,1.007,"dry pool, next to channel"
8/12/2024,2024,ME,Moody Marsh,,Runnel,T2,27.5,1.98,-0.47,1.132,panne
8/12/2024,2024,ME,Moody Marsh,,Runnel,T2,30,2.16,-0.65,0.952,dry pool edge
8/12/2024,2024,ME,Moody Marsh,,Runnel,T2,32,2.215,-0.705,0.897,"dry pool, channel center"
8/12/2024,2024,ME,Moody Marsh,,Runnel,T2,32.5,2.18,-0.67,0.932,"dry pool, channel bank"
8/12/2024,2024,ME,Moody Marsh,,Runnel,T2,35,2.13,-0.62,0.982,dry pool
8/12/2024,2024,ME,Moody Marsh,,Runnel,T2,36,1.835,-0.325,1.277,"transition marsh, next to dry pool "
8/12/2024,2024,ME,Moody Marsh,,Runnel,T2,37.5,1.785,-0.275,1.327,high marsh
8/12/2024,2024,ME,Moody Marsh,,Runnel,T2,40,1.78,-0.27,1.332,high marsh
8/12/2024,2024,ME,Moody Marsh,,Runnel,T2,42.5,1.755,-0.245,1.357,high marsh
8/12/2024,2024,ME,Moody Marsh,,Runnel,T2,45,1.72,-0.21,1.392,high marsh
8/12/2024,2024,ME,Moody Marsh,,Runnel,T2,47.5,1.715,-0.205,1.397,high marsh
8/12/2024,2024,ME,Moody Marsh,,Runnel,T2,50,1.635,-0.125,1.477,high marsh
8/1/2022,2022,MA,Kents Island,,No Action,T1,-1,,,0.766,"Creek Edge, LM"
8/1/2022,2022,MA,Kents Island,,No Action,T1,0,,,1.391,South post (HM)
8/1/2022,2022,MA,Kents Island,,No Action,T1,2.5,,,1.431,HM
8/1/2022,2022,MA,Kents Island,,No Action,T1,5,,,1.446,HM
8/1/2022,2022,MA,Kents Island,,No Action,T1,7.5,,,1.436,HM
8/1/2022,2022,MA,Kents Island,,No Action,T1,10,,,1.456,HM
8/1/2022,2022,MA,Kents Island,,No Action,T1,12.5,,,1.466,trans
8/1/2022,2022,MA,Kents Island,,No Action,T1,15,,,1.436,Panne
8/1/2022,2022,MA,Kents Island,,No Action,T1,17.5,,,1.436,Panne
8/1/2022,2022,MA,Kents Island,,No Action,T1,20,,,1.416,Panne
8/1/2022,2022,MA,Kents Island,,No Action,T1,22.5,,,1.431,Panne
8/1/2022,2022,MA,Kents Island,,No Action,T1,25,,,1.376,Panne
8/1/2022,2022,MA,Kents Island,,No Action,T1,27.5,,,1.406,Panne
8/1/2022,2022,MA,Kents Island,,No Action,T1,28,,,1.306,hole
8/1/2022,2022,MA,Kents Island,,No Action,T1,30,,,1.396,Panne
8/1/2022,2022,MA,Kents Island,,No Action,T1,32.5,,,1.406,Panne
8/1/2022,2022,MA,Kents Island,,No Action,T1,35,,,1.396,Panne
8/1/2022,2022,MA,Kents Island,,No Action,T1,37.5,,,1.406,Panne
8/1/2022,2022,MA,Kents Island,,No Action,T1,40,,,1.416,Panne
8/1/2022,2022,MA,Kents Island,,No Action,T1,42.5,,,1.416,Panne
8/1/2022,2022,MA,Kents Island,,No Action,T1,45,,,1.456,HM
8/1/2022,2022,MA,Kents Island,,No Action,T1,47.2,,,1.626,North Post (UE)
8/1/2022,2022,MA,Kents Island,,No Action,T2,-1,,,1.046,"Creek Edge, LM"
8/1/2022,2022,MA,Kents Island,,No Action,T2,0,,,1.376,South post (trans)
8/1/2022,2022,MA,Kents Island,,No Action,T2,2.5,,,1.446,HM
8/1/2022,2022,MA,Kents Island,,No Action,T2,5,,,1.456,HM
8/1/2022,2022,MA,Kents Island,,No Action,T2,7.5,,,1.456,HM
8/1/2022,2022,MA,Kents Island,,No Action,T2,10,,,1.456,HM
8/1/2022,2022,MA,Kents Island,,No Action,T2,12.5,,,1.426,Panne
8/1/2022,2022,MA,Kents Island,,No Action,T2,15,,,1.426,Panne
8/1/2022,2022,MA,Kents Island,,No Action,T2,17.5,,,1.436,Panne
8/1/2022,2022,MA,Kents Island,,No Action,T2,20,,,1.431,Panne
8/1/2022,2022,MA,Kents Island,,No Action,T2,22.5,,,1.451,Panne
8/1/2022,2022,MA,Kents Island,,No Action,T2,25,,,1.431,Panne
8/1/2022,2022,MA,Kents Island,,No Action,T2,27.5,,,1.426,Panne
8/1/2022,2022,MA,Kents Island,,No Action,T2,30,,,1.436,Panne
8/1/2022,2022,MA,Kents Island,,No Action,T2,32.5,,,1.376,Panne
8/1/2022,2022,MA,Kents Island,,No Action,T2,35,,,1.396,Panne
8/1/2022,2022,MA,Kents Island,,No Action,T2,37.5,,,1.391,Panne
8/1/2022,2022,MA,Kents Island,,No Action,T2,40,,,1.371,Panne
8/1/2022,2022,MA,Kents Island,,No Action,T2,42.5,,,1.466,HM
8/1/2022,2022,MA,Kents Island,,No Action,T2,45.2,,,1.586,North Post (UE)
8/1/2022,2022,MA,Kents Island,,Reference,T1,-1,,,0.802,Creek Edge
8/1/2022,2022,MA,Kents Island,,Reference,T1,0,,,1.292,West post (HM)
8/1/2022,2022,MA,Kents Island,,Reference,T1,2.5,,,1.337,HM
8/1/2022,2022,MA,Kents Island,,Reference,T1,5,,,1.352,HM
8/1/2022,2022,MA,Kents Island,,Reference,T1,7.5,,,1.372,HM
