"","Metric","MHT_rel","MHHT_rel","Spring_Tide_rel","Grouping_Variable"
"1","No Action","-0.16 +/- 2.2","-4.78 +/- 2.19","-26.02 +/- 3.41","Treatment"
"2","Reference","1.08 +/- 1.25","-3.31 +/- 1.32","-23.75 +/- 2.55","Treatment"
"3","Runnel","0.11 +/- 1.67","-4.43 +/- 1.65","-25.38 +/- 2.53","Treatment"
"4","Panne","2.14 +/- 1.49","-1.83 +/- 1.63","-22.03 +/- 3.18","Marsh Condition"
"5","Pool","-1.2 +/- 2.55","-6.1 +/- 2.45","-27.52 +/- 3.59","Marsh Condition"
"6","Mesotidal","1.9 +/- 1.37","-2.1 +/- 1.31","-17.17 +/- 1.56","Tidal Regime"
"7","Microtidal","-1.84 +/- 3.12","-6.97 +/- 3.04","-34.33 +/- 3.35","Tidal Regime"
