"","Overall_Treatment","MHT_rel_mean","MHT_rel_se","MHHT_rel_mean","MHHT_rel_se","Spring_Tide_rel_mean","Spring_Tide_rel_se"
"1","No Action",-0.16,2.2,-4.78,2.19,-26.02,3.41
"2","Reference",1.08,1.25,-3.31,1.32,-23.75,2.55
"3","Runnel",0.11,1.67,-4.43,1.65,-25.38,2.53
