"","effect","group","term","estimate","std.error","statistic","df","p.value","metric"
"1","fixed",NA,"(Intercept)",2.76728853298446,0.228153816393211,12.1290477482752,57.9256642214565,1.54272959518786e-17,"totalbirds"
"2","fixed",NA,"runnel_age",0.0126169834884516,0.0404799501303606,0.311684758697088,63.1306338593967,0.756307137728468,"totalbirds"
"3","fixed",NA,"TreatmentReference",0.219966714086275,0.325372756740784,0.676045272780834,60.339356987636,0.501594979202863,"totalbirds"
"4","fixed",NA,"TreatmentRunnel",0.51560690353664,0.311248388585911,1.65657694126285,58.225130541206,0.102984858514754,"totalbirds"
"5","fixed",NA,"runnel_age:TreatmentReference",0.00365118939620962,0.056988566059786,0.0640688062299936,63.6694120841011,0.949116169265171,"totalbirds"
"6","fixed",NA,"runnel_age:TreatmentRunnel",-0.0261595410676311,0.0554083649981051,-0.472122595000335,62.5404129671657,0.638482519186462,"totalbirds"
"7","ran_pars","PointID","sd__(Intercept)",0.324400878995437,NA,NA,NA,NA,"totalbirds"
"8","ran_pars","Residual","sd__Observation",0.701438567793793,NA,NA,NA,NA,"totalbirds"
"9","fixed",NA,"(Intercept)",0.703540231259739,0.286519267742391,2.45547266961569,43.2466907156403,0.0181639392341792,"saltysparrow"
"10","fixed",NA,"runnel_age",0.0617786371777451,0.0501768772759051,1.23121725646748,46.8853810930845,0.224382024095554,"saltysparrow"
"11","fixed",NA,"TreatmentReference",1.00028688473895,0.431584009502689,2.3177107184568,44.2457069041567,0.0251507322170107,"saltysparrow"
"12","fixed",NA,"TreatmentRunnel",0.754479433002102,0.401125650651933,1.88090547631616,43.6315733244143,0.0666690575697191,"saltysparrow"
"13","fixed",NA,"runnel_age:TreatmentReference",-0.0642096071063829,0.0757246484159467,-0.847935361200846,46.936424668194,0.400777455918298,"saltysparrow"
"14","fixed",NA,"runnel_age:TreatmentRunnel",-0.0521444420265004,0.0697053117093925,-0.748069849309263,46.3581665161287,0.45819639200329,"saltysparrow"
"15","ran_pars","PointID","sd__(Intercept)",0.177877271939912,NA,NA,NA,NA,"saltysparrow"
"16","ran_pars","Residual","sd__Observation",0.844622414535414,NA,NA,NA,NA,"saltysparrow"
"17","fixed",NA,"(Intercept)",4.81986405552456,0.82909165221432,5.81342731247115,59.7004811366035,2.54733463391587e-07,"panne_dependent"
"18","fixed",NA,"runnel_age",0.0189393682620453,0.146877586690143,0.128946619350441,65.0800549824756,0.897797566908901,"panne_dependent"
"19","fixed",NA,"TreatmentReference",-1.02473257046017,1.18154254388699,-0.86728368416515,62.1033492196987,0.389125392919729,"panne_dependent"
"20","fixed",NA,"TreatmentRunnel",-0.386886433384496,1.13094124473187,-0.342092425390519,60.0485321318765,0.733475773341603,"panne_dependent"
"21","fixed",NA,"runnel_age:TreatmentReference",0.0577758929193028,0.20674610356334,0.279453358121462,65.6462544033086,0.780775515214216,"panne_dependent"
"22","fixed",NA,"runnel_age:TreatmentRunnel",-0.0761626575925064,0.201074262814455,-0.378778748341288,64.5810463459854,0.706094600881884,"panne_dependent"
"23","ran_pars","PointID","sd__(Intercept)",1.27363553769662,NA,NA,NA,NA,"panne_dependent"
"24","ran_pars","Residual","sd__Observation",2.46247196286043,NA,NA,NA,NA,"panne_dependent"
"25","fixed",NA,"(Intercept)",3.21071908556339,0.334264327809506,9.60532972992902,62.8049394762904,6.07032083891009e-14,"weighted_wetland_score"
"26","fixed",NA,"runnel_age",-0.00342574459853539,0.058521102403301,-0.0585386203924647,69.9691045640224,0.953486465755732,"weighted_wetland_score"
"27","fixed",NA,"TreatmentReference",-0.20542736571603,0.474164164604301,-0.433241018724945,65.1039174347927,0.666271741001463,"weighted_wetland_score"
"28","fixed",NA,"TreatmentRunnel",-0.127016966503081,0.455466570002899,-0.278872204610478,63.5780858474494,0.781247994648065,"weighted_wetland_score"
"29","fixed",NA,"runnel_age:TreatmentReference",0.0502542241927225,0.0822713085909559,0.610835357470502,70.7968812796615,0.543264757532562,"weighted_wetland_score"
"30","fixed",NA,"runnel_age:TreatmentRunnel",0.0465822160015288,0.0801332754874629,0.581309271562432,70.2898877660402,0.562891553357715,"weighted_wetland_score"
"31","ran_pars","PointID","sd__(Intercept)",0.685474510473264,NA,NA,NA,NA,"weighted_wetland_score"
"32","ran_pars","Residual","sd__Observation",0.785929378636864,NA,NA,NA,NA,"weighted_wetland_score"
"33","fixed",NA,"(Intercept)",3.55261803699958,0.366069609623252,9.70476090778427,61.3795278535244,5.19747841881628e-14,"richness"
"34","fixed",NA,"runnel_age",0.00552916521718997,0.064498325825449,0.0857257168527674,67.5045210896156,0.931938215692789,"richness"
"35","fixed",NA,"TreatmentReference",-0.172799091474968,0.520478565734961,-0.332000398961599,63.7398350563612,0.740978235256637,"richness"
"36","fixed",NA,"TreatmentRunnel",0.606866839319324,0.499129160098815,1.21585130229454,61.9162495996029,0.22865695212155,"richness"
"37","fixed",NA,"runnel_age:TreatmentReference",-0.013291050193526,0.0907369805363029,-0.146478867987109,68.1853216834074,0.883975587543628,"richness"
"38","fixed",NA,"runnel_age:TreatmentRunnel",-0.0597698556988626,0.088324374715289,-0.676708506474334,67.3610704505385,0.50090814276049,"richness"
"39","ran_pars","PointID","sd__(Intercept)",0.670562645170676,NA,NA,NA,NA,"richness"
"40","ran_pars","Residual","sd__Observation",0.968890338948061,NA,NA,NA,NA,"richness"
"41","fixed",NA,"(Intercept)",1.06643371221053,0.103402369053529,10.3134359683621,62.4810179156888,4.0811247982607e-15,"shannon"
