"","term","df","SumOfSqs","R2","statistic","p.value"
"1","Model",1,1.51248958472987,0.0463339542833915,5.58728578680405,0.001
"2","Residual",115,31.1307330394187,0.953666045716609,NA,NA
"3","Total",116,32.6432226241485,1,NA,NA
"4","Model",2,0.745078342686592,0.02282490155048,1.33140865996451,0.18
"5","Residual",114,31.8981442814619,0.97717509844952,NA,NA
"6","Total",116,32.6432226241485,1,NA,NA
"7","Model",1,2.49858762059492,0.0765423086244719,9.5319640239314,0.001
"8","Residual",115,30.1446350035536,0.923457691375528,NA,NA
"9","Total",116,32.6432226241485,1,NA,NA
