"","Age_Classification","Platform_Flood_Duration","Platform_HT_Frequency","Platform_Drainage_Depth_cm","Root_Flood_Duration","Root_HT_Frequency","Root_Drainage_Depth_cm","Drainage_Amplitude_cm"
"1","Early Restoration","20.8 +/- 4.7","37.1 +/- 5.2","8.4 +/- 1.1","43.6 +/- 5.7","46.6 +/- 5.3","3.4 +/- 1.1","9.6 +/- 0.7"
"2","Older Restoration","22.6 +/- 3.8","48.2 +/- 4.1","9.6 +/- 1.1","43.1 +/- 4.6","59.1 +/- 4.1","4.6 +/- 1.1","9.9 +/- 0.8"
"3","Pre-Restoration","48.5 +/- 6.1","45.5 +/- 4.1","1.4 +/- 1","79.6 +/- 3.7","54.4 +/- 4","-3.6 +/- 1","9.1 +/- 0.8"
"4","Reference","19.9 +/- 2.6","36.9 +/- 3","10.5 +/- 0.9","45.4 +/- 3.6","48.3 +/- 3.3","5.5 +/- 0.9","13.6 +/- 0.9"
