"","x.Root_Flood_Duration","x.Root_HT_Frequency","x.Root_Drainage_Depth_m","x.Drainage_Amplitude_m"
"1",NA,5.79221209222602e-05,0,0.000256202137844053
"2",5.79221209222602e-05,NA,0.000408355157650586,0.187619693415111
"3",0,0.000408355157650586,NA,2.39203858054537e-07
"4",0.000256202137844053,0.187619693415111,2.39203858054537e-07,NA
