"","Site","Sub_Site","Overall_Treatment","Site_Treatment","Year","Time_Since_Restoration","Tidal_Range","Platform_Flood_Duration","Platform_HT_Frequency","Platform_Drainage_Depth_cm","Root_Flood_Duration","Root_HT_Frequency","Root_Drainage_Depth_cm","Drainage_Amplitude_cm","Time_Relative_To_Metonic_Low_2015"
"40","Sapowet","North","Runnel","Sapowet - North - Runnel",2024,6,"Microtidal",10.2,33.3,9.1,38.6,43.9,4.1,11.8,9
"41","Sapowet","North","Reference","Sapowet - North - Reference",2022,4,"Microtidal",1.5,10.3,27.6,2.2,15.5,22.6,21.6,7
"42","Sapowet","North","Reference","Sapowet - North - Reference",2024,6,"Microtidal",18.6,35.1,7.8,69,47.4,2.8,24,9
"43","Sapowet","South","Runnel","Sapowet - South - Runnel",2022,0,"Microtidal",5.1,13.8,14.8,13.6,25.9,9.8,9.7,7
"44","Sapowet","South","Runnel","Sapowet - South - Runnel",2024,2,"Microtidal",15,43.9,7.2,44.7,50.9,2.2,11,9
"45","Sapowet","South","No Action","Sapowet - South - No Action",2022,0,"Microtidal",1.5,10.3,15.3,2.7,12.1,10.3,9.7,7
"46","Sapowet","South","No Action","Sapowet - South - No Action",2024,2,"Microtidal",29.8,31.6,4.1,73.1,38.6,-0.9,10.6,9
"47","Weekapaug","","Runnel","Weekapaug - Runnel",2021,4,"Microtidal",76.2,96.4,0.3,97.1,100,-4.7,7.7,6
"48","Weekapaug","","Runnel","Weekapaug - Runnel",2024,7,"Microtidal",21.8,67.2,11,29.1,82.8,6,17.1,9
"49","Weekapaug","","Reference","Weekapaug - Reference",2021,4,"Microtidal",23.5,87.3,10.7,40.4,100,5.7,6.4,6
"50","Weekapaug","","Reference","Weekapaug - Reference",2024,7,"Microtidal",15.2,56.9,10.9,25.9,69,5.9,7.4,9
"51","Weekapaug","","No Action","Weekapaug - No Action",2021,4,"Microtidal",94.2,100,-4,100,100,-9,8,6
"52","Weekapaug","","No Action","Weekapaug - No Action",2024,7,"Microtidal",31.5,72.4,7.6,69,86.2,2.6,12.6,9
"53","Winnapaug","","Runnel","Winnapaug - Runnel",2021,8,"Microtidal",34.1,92.7,6.9,42.2,100,1.9,5.6,6
"54","Winnapaug","","Runnel","Winnapaug - Runnel",2024,11,"Microtidal",48.8,62.1,2.9,86.5,72.4,-2.1,14.5,9
"55","Winnapaug","","Reference","Winnapaug - Reference",2021,8,"Microtidal",30.3,87.3,7,73.9,96.4,2,7.9,6
"56","Winnapaug","","Reference","Winnapaug - Reference",2024,11,"Microtidal",13.6,58.6,14.5,21.2,67.2,9.5,11.5,9
"57","Winnapaug","","No Action","Winnapaug - No Action",2021,8,"Microtidal",40.3,96.4,3.2,95.2,100,-1.8,4.4,6
"58","Winnapaug","","No Action","Winnapaug - No Action",2024,11,"Microtidal",86.5,67.2,-1.1,91.7,84.5,-6.1,20.6,9
"59","Moody Marsh","","Runnel","Moody Marsh - Runnel",2021,10,"Mesotidal",12.5,62.5,8.1,34,66.1,3.1,2.8,6
"60","Moody Marsh","","Runnel","Moody Marsh - Runnel",2024,13,"Mesotidal",18.2,71.9,12.2,29.1,78.9,7.2,9.9,9
"61","Moody Marsh","","Reference","Moody Marsh - Reference",2021,10,"Mesotidal",54.6,25,5.7,60.9,26.8,0.7,15,6
"62","Moody Marsh","","Reference","Moody Marsh - Reference",2024,13,"Mesotidal",5.1,29.8,10.7,56.6,35.1,5.7,18.5,9
"63","Moody Marsh","","No Action","Moody Marsh - No Action",2021,10,"Mesotidal",100,16.1,-3.3,100,17.9,-8.3,1.3,6
"64","Moody Marsh","","No Action","Moody Marsh - No Action",2024,13,"Mesotidal",27,19.3,2.5,88.3,22.8,-2.5,8.1,9
"65","Pine Island","North","Runnel","Pine Island - North - Runnel",2022,7,"Mesotidal",84.4,66.7,-0.7,100,73.7,-5.7,3.4,7
"66","Pine Island","North","Runnel","Pine Island - North - Runnel",2024,9,"Mesotidal",51.6,71.7,0.9,78.7,83.3,-4.1,11.5,9
"67","Pine Island","North","Reference","Pine Island - North - Reference",2022,7,"Mesotidal",39.8,19.3,6.4,56.7,31.6,1.4,9.4,7
"68","Pine Island","South","Runnel","Pine Island - South - Runnel",2022,7,"Mesotidal",6,38.6,17.4,8.9,54.4,12.4,4,7
"69","Pine Island","South","Runnel","Pine Island - South - Runnel",2024,9,"Mesotidal",6.4,53.3,19.3,8.8,56.7,14.3,5.6,9
"70","Pine Island","South","Reference","Pine Island - South - Reference",2022,7,"Mesotidal",1.7,19.3,15.8,3,28.1,10.8,11.8,7
"71","Pine Island","South","Reference","Pine Island - South - Reference",2024,9,"Mesotidal",5,30,10.8,31.7,51.7,5.8,17.7,9
"72","Pine Island","North","No Action","Pine Island - North - No Action",2022,7,"Mesotidal",3.5,19.3,4.9,89.7,35.1,-0.1,5.1,7
